track_id,track_name,track_artist,energy,preview_url
3QBZhGyrmH16X853rimdE1,I Made You Do,Melih Aydogan,0.703,https://p.scdn.co/mp3-preview/28886a9fa2215c7552487f9488a0da27a1e4fe58?cid=49789426e6c04428a2befbd3c2d79b02
6GomT970rCOkKAyyrwJeZi,Move Your Body,Öwnboss,0.821,https://p.scdn.co/mp3-preview/86d6200edc5e8c68e89e22a126d1dbf7b73b7a90?cid=49789426e6c04428a2befbd3c2d79b02
2cegJfpyiaWXclqj5HRsZG,Just Feels Tight,FISHER,0.994,https://p.scdn.co/mp3-preview/e90574f30ad3713a63d211b52f881a6a826802e0?cid=49789426e6c04428a2befbd3c2d79b02
68UW3plyDDNg1dkNIZRezJ,Tinted Eyes (feat. blackbear & 24kGoldn),DVBBS,0.801,https://p.scdn.co/mp3-preview/4a693921a2b8268e6809bacdbf0a269033fb5480?cid=49789426e6c04428a2befbd3c2d79b02
7yL4wdksHlDnmKvofxMTBE,A LOT TO LOSE,24kGoldn,0.766,https://p.scdn.co/mp3-preview/3a0b22bf183b594e0de8812a426b9c62f7430565?cid=49789426e6c04428a2befbd3c2d79b02
3DlgDXIYtnWtJKiB8bZQMv,Photosynthesis,Saba,0.662,https://p.scdn.co/mp3-preview/de5bf0b2133e0c64a1f0be967ee7702b5f1860f5?cid=49789426e6c04428a2befbd3c2d79b02
0AR1NRcYkm2vhostE502BU,Overrated,Pretty Pink,0.684,https://p.scdn.co/mp3-preview/cfd6a2f3da60f2dc5e707db71771c5a6083a35a4?cid=49789426e6c04428a2befbd3c2d79b02
3B1Je3rlEac3p4ikYW13zw,Define,Dom Dolla,0.808,https://p.scdn.co/mp3-preview/fb10eec01e73dc0dcff4b3d0af624b143265356a?cid=49789426e6c04428a2befbd3c2d79b02
0PeWHVfXWa2rgosd8sURLn,Consecutive Normal Punches (feat. Buddy),Domo Genesis,0.631,https://p.scdn.co/mp3-preview/37d6e6aa1683e36a8119a39454517441b185ad85?cid=49789426e6c04428a2befbd3c2d79b02
38spM0LahLUfQhOMAqA7AI,Be Your Girl (Kaytranada Edition),Teedra Moses,0.682,https://p.scdn.co/mp3-preview/c057a3897561adb83731d724becdf41a17bead4a?cid=49789426e6c04428a2befbd3c2d79b02
5jkFvD4UJrmdoezzT1FRoP,Rasputin,Boney M.,0.893,https://p.scdn.co/mp3-preview/f6d6eb8dabae0e8fa8aa7f93743bc2067daac97c?cid=49789426e6c04428a2befbd3c2d79b02
5KFj6CPcfKGS6MI3gQEzNe,Brown Angel,Tamaraebi,0.787,https://p.scdn.co/mp3-preview/d551b8f2f9c557b8eff1bf53ad614cf584450341?cid=49789426e6c04428a2befbd3c2d79b02
3jhStgnHgwPGaSyhdHuT1Z,Word on the Streets,Key Glock,0.646,https://p.scdn.co/mp3-preview/a8c9483f6a691fc3114982a62b87f77c5e88951b?cid=49789426e6c04428a2befbd3c2d79b02
5sxRbu2Oi9lgmLO8taA3Rf,"327 (feat. Tyler, The Creator & Billie Essco)",Westside Gunn,0.701,https://p.scdn.co/mp3-preview/11f5ff2236f1a26372a5075e2be9bd37406acbec?cid=49789426e6c04428a2befbd3c2d79b02
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,0.657,https://p.scdn.co/mp3-preview/a5bb6f511c845bd5f971e0fca5ba45f080835ca9?cid=49789426e6c04428a2befbd3c2d79b02
7nc7mlSdWYeFom84zZ8Wr8,Tell Em,Cochise,0.717,https://p.scdn.co/mp3-preview/fd0fe0658c90405f68c84cab80557d2b060a2414?cid=49789426e6c04428a2befbd3c2d79b02
5uQOauh47VFt3B2kV9kRXw,My Shit,A Boogie Wit da Hoodie,0.621,https://p.scdn.co/mp3-preview/45655624341656d3375dbed1ea1b1546d59388f5?cid=49789426e6c04428a2befbd3c2d79b02
6PZlK0iD8mhuS2y8Ce645t,LV Outkast,Jamaar,0.704,https://p.scdn.co/mp3-preview/2447775340f9da63ee1fc037fea78cd0df3f484a?cid=49789426e6c04428a2befbd3c2d79b02
2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,0.757,https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=49789426e6c04428a2befbd3c2d79b02
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,0.636,https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=49789426e6c04428a2befbd3c2d79b02
4peYARr5TMDzveSsDArLk1,No Holds Barred,Jamaar,0.659,https://p.scdn.co/mp3-preview/811f25dd657040e97f71c61328eb1d80d3d34642?cid=49789426e6c04428a2befbd3c2d79b02
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,0.707,https://p.scdn.co/mp3-preview/4cc0018584f7e316a81616be3bf66c9d9a42ed0e?cid=49789426e6c04428a2befbd3c2d79b02
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,Travis Scott,0.708,https://p.scdn.co/mp3-preview/4b3564ac8a8363c105fbc651062e2a466076c69c?cid=49789426e6c04428a2befbd3c2d79b02
4S4Mfvv03M1cHgIOJcbUCL,In My Room,Frank Ocean,0.647,https://p.scdn.co/mp3-preview/a23f4faaefc0b1105bd70e3e46189bcf930dcd42?cid=49789426e6c04428a2befbd3c2d79b02
5H6SZcjJzBNsB2VzKW2Ivd,Tiempo,Ozuna,0.752,https://p.scdn.co/mp3-preview/65d5fe64f376c2cfa005ad0b3535aed6c9a2a947?cid=49789426e6c04428a2befbd3c2d79b02
6dJ7igqQIKNRXM1R0umY8c,C'est La Vie,SEGA,0.675,https://p.scdn.co/mp3-preview/8bbfcc5082854d2099c46847f2061ccecdaf1aa7?cid=49789426e6c04428a2befbd3c2d79b02
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,Jack Harlow,0.793,https://p.scdn.co/mp3-preview/57db620e8b7ffe5c2117a5e65331622a868a21fc?cid=49789426e6c04428a2befbd3c2d79b02
2FTeQQ5Rg9tBpgpTF5mnhE,Still Think About You,A Boogie Wit da Hoodie,0.646,https://p.scdn.co/mp3-preview/b1972997353323a3a4bb8f27836a57041960c14a?cid=49789426e6c04428a2befbd3c2d79b02
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,0.81,https://p.scdn.co/mp3-preview/f770a1a0b3dfb5bc652f89848e45ab9d09f7dc69?cid=49789426e6c04428a2befbd3c2d79b02
1ipSpQfzBbhPFhYm6tfVIz,Mr. Glock,Key Glock,0.946,https://p.scdn.co/mp3-preview/6efa7953e7757397b8aa5e8ca1d2dba329957c5e?cid=49789426e6c04428a2befbd3c2d79b02
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),Money Man,0.638,https://p.scdn.co/mp3-preview/66aeb8b712f893c8bf1088a4a35a9e3a4805357e?cid=49789426e6c04428a2befbd3c2d79b02
7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,A Boogie Wit da Hoodie,0.631,https://p.scdn.co/mp3-preview/678f28d825ff3570954b71300a8e50e038ee7ad6?cid=49789426e6c04428a2befbd3c2d79b02
7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,0.759,https://p.scdn.co/mp3-preview/b7ce0f23c96ad4adad0eda03277e5ac1fa37da19?cid=49789426e6c04428a2befbd3c2d79b02
3jT3A0QXqI01qV9WNxRJOV,EARNED IT,KILLY,0.717,https://p.scdn.co/mp3-preview/d5dc229349bf897a7bcf1d26635a60aa54c154c5?cid=49789426e6c04428a2befbd3c2d79b02
1H5N26VqHR4JhuaRKY2I0u,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,0.759,https://p.scdn.co/mp3-preview/84514f304f702184728abfa31331d79e36856f82?cid=49789426e6c04428a2befbd3c2d79b02
0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.769,https://p.scdn.co/mp3-preview/23f6c629d7072e1adbe90b0a155b1110b2f94714?cid=49789426e6c04428a2befbd3c2d79b02
6ZA3Q8Dj5BrnmOsT300DCh,Ice Cream Man,Tyga,0.67,https://p.scdn.co/mp3-preview/e7165f6c5f7a497553fe2d4f9f22493a1618a2ce?cid=49789426e6c04428a2befbd3c2d79b02
2SbAcN6cMTrtGeTFA5rqDe,Show Luv,Arno Cost,0.908,https://p.scdn.co/mp3-preview/5677a10ff63faff12b6312405c92ddc112bb7fcd?cid=49789426e6c04428a2befbd3c2d79b02
6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth,0.664,https://p.scdn.co/mp3-preview/750da82d08dd4f1840d4d37032473167cdd3033b?cid=49789426e6c04428a2befbd3c2d79b02
5XKZua8kqgHwcxeKiMIjge,AirplaneMode,BONES,0.601,https://p.scdn.co/mp3-preview/12b494202632f2aaa06ae538f62ec89f4969cac9?cid=49789426e6c04428a2befbd3c2d79b02
4blMTTElmTAmfEsyExPgTi,My Life,3rd Degree,0.717,https://p.scdn.co/mp3-preview/0e73f71d3d2e4be7c8351be957c4d4cc14cd53f2?cid=49789426e6c04428a2befbd3c2d79b02
3I10tZ5MgEMo4WryCNJkZQ,Won't Forget You (Edit),Shouse,0.655,https://p.scdn.co/mp3-preview/95d0a52d0942d7ea4bd5b906e9e2696cfa256faf?cid=49789426e6c04428a2befbd3c2d79b02
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,0.965,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=49789426e6c04428a2befbd3c2d79b02
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.772,https://p.scdn.co/mp3-preview/0b972d24c49e50be428edfacbafae85cb80249e9?cid=49789426e6c04428a2befbd3c2d79b02
1unFtbwcAnSGgYPmp52vc0,Wit It,Gunna,0.657,https://p.scdn.co/mp3-preview/2a4d555ced14be504402269f65c68609b3ada757?cid=49789426e6c04428a2befbd3c2d79b02
7gzOfclimlOrkmeMtpt2GN,Six Shooter,SNBRN,0.77,https://p.scdn.co/mp3-preview/0c3d3eeee63b7fc493cfe4d60802d71dfd591914?cid=49789426e6c04428a2befbd3c2d79b02
4qetR2UUyBeUrJ9DbYrpVQ,Stop It,FISHER,0.824,https://p.scdn.co/mp3-preview/aed1683cbfb6101617a0a73d66318acc735111cb?cid=49789426e6c04428a2befbd3c2d79b02
3QuJ4TqND9JE7cqAkIrgYr,Smalltown Boy,Marcus Layton,0.644,https://p.scdn.co/mp3-preview/be518c446b9dd781c13875aa82c11e0f79b4cec9?cid=49789426e6c04428a2befbd3c2d79b02
2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,Disco Lines,0.907,https://p.scdn.co/mp3-preview/4a22b4616e39db215d486cad76339861da696658?cid=49789426e6c04428a2befbd3c2d79b02
