track_id,track_name,track_artist,acousticness,preview_url
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,0.0395,https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=49789426e6c04428a2befbd3c2d79b02
0XOKietGW4PXK4hs4jyfpO,WALK IN THE PARK,Jack Harlow,0.07,https://p.scdn.co/mp3-preview/1181caedf152d2a60087dbbbd35119d0da605cd2?cid=49789426e6c04428a2befbd3c2d79b02
3L19besdNQzd342qL78xqm,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,0.0114,https://p.scdn.co/mp3-preview/0ec85bf8f1067e5e6f578d89ed143a25eec14fe9?cid=49789426e6c04428a2befbd3c2d79b02
6dJ7igqQIKNRXM1R0umY8c,C'est La Vie,SEGA,0.0536,https://p.scdn.co/mp3-preview/8bbfcc5082854d2099c46847f2061ccecdaf1aa7?cid=49789426e6c04428a2befbd3c2d79b02
3YeQsJs1FdLI3w0BqWwpmk,2nd Hand,$uicideboy$,0.0307,https://p.scdn.co/mp3-preview/a63b92371c78494c1eae05170d7b20df20f0c7a9?cid=49789426e6c04428a2befbd3c2d79b02
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,Jack Harlow,0.0872,https://p.scdn.co/mp3-preview/57db620e8b7ffe5c2117a5e65331622a868a21fc?cid=49789426e6c04428a2befbd3c2d79b02
6gbiTbclnHlmSIPfmF2zEc,Gang Shit No Lame Shit,Key Glock,0.0394,https://p.scdn.co/mp3-preview/90e78269cbe74899047b0e734f797f24a7974f33?cid=49789426e6c04428a2befbd3c2d79b02
1ipSpQfzBbhPFhYm6tfVIz,Mr. Glock,Key Glock,0.002,https://p.scdn.co/mp3-preview/6efa7953e7757397b8aa5e8ca1d2dba329957c5e?cid=49789426e6c04428a2befbd3c2d79b02
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),Gunna,0.00783,https://p.scdn.co/mp3-preview/a524108f79c6d0bfb4f61c417f719a851876cf93?cid=49789426e6c04428a2befbd3c2d79b02
1H5N26VqHR4JhuaRKY2I0u,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,0.028,https://p.scdn.co/mp3-preview/84514f304f702184728abfa31331d79e36856f82?cid=49789426e6c04428a2befbd3c2d79b02
0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.04,https://p.scdn.co/mp3-preview/23f6c629d7072e1adbe90b0a155b1110b2f94714?cid=49789426e6c04428a2befbd3c2d79b02
2SbAcN6cMTrtGeTFA5rqDe,Show Luv,Arno Cost,0.0222,https://p.scdn.co/mp3-preview/5677a10ff63faff12b6312405c92ddc112bb7fcd?cid=49789426e6c04428a2befbd3c2d79b02
6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth,0.0448,https://p.scdn.co/mp3-preview/750da82d08dd4f1840d4d37032473167cdd3033b?cid=49789426e6c04428a2befbd3c2d79b02
3lxUQ9Q9p2SiJU4FXSLUsr,Rush,SOMMA,0.0177,https://p.scdn.co/mp3-preview/7ed856978433ca0ea2d0589bc606b07aa5643d93?cid=49789426e6c04428a2befbd3c2d79b02
3I10tZ5MgEMo4WryCNJkZQ,Won't Forget You (Edit),Shouse,0.02,https://p.scdn.co/mp3-preview/95d0a52d0942d7ea4bd5b906e9e2696cfa256faf?cid=49789426e6c04428a2befbd3c2d79b02
4lH6nENd1y81jp7Yt9lTBX,Solo,Future,0.0538,https://p.scdn.co/mp3-preview/4d691a3f52d5d7c6f03a14c0a93cb723727204f4?cid=49789426e6c04428a2befbd3c2d79b02
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,0.00383,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=49789426e6c04428a2befbd3c2d79b02
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.0476,https://p.scdn.co/mp3-preview/0b972d24c49e50be428edfacbafae85cb80249e9?cid=49789426e6c04428a2befbd3c2d79b02
4K5lspeAPU59snWR73qIHR,Red Light,Elijah the Boy,0.094,https://p.scdn.co/mp3-preview/f1ef8bad88ce8c4687e25259ec7e5ebfca8bd339?cid=49789426e6c04428a2befbd3c2d79b02
7gzOfclimlOrkmeMtpt2GN,Six Shooter,SNBRN,0.0167,https://p.scdn.co/mp3-preview/0c3d3eeee63b7fc493cfe4d60802d71dfd591914?cid=49789426e6c04428a2befbd3c2d79b02
