track_id,track_name,track_artist,speechiness,preview_url
3B1Je3rlEac3p4ikYW13zw,Define,Dom Dolla,0.0355,https://p.scdn.co/mp3-preview/fb10eec01e73dc0dcff4b3d0af624b143265356a?cid=49789426e6c04428a2befbd3c2d79b02
7eRHGgeBiSpkkRDqpwrqiz,LONELY NIGHTS,Asha Imuno,0.031,https://p.scdn.co/mp3-preview/06a852dc72df5cedfe2e4e49d585b87fae553acd?cid=49789426e6c04428a2befbd3c2d79b02
1CIRbbtZFBm2T0cMqH8Cqe,Not Even In My Dreams,GUNNAR,0.0341,https://p.scdn.co/mp3-preview/315be0154c6938eb4a84e9d2eed6ac4b0c0b11f7?cid=49789426e6c04428a2befbd3c2d79b02
5jkFvD4UJrmdoezzT1FRoP,Rasputin,Boney M.,0.036,https://p.scdn.co/mp3-preview/f6d6eb8dabae0e8fa8aa7f93743bc2067daac97c?cid=49789426e6c04428a2befbd3c2d79b02
6utl2puTMct2t0ntNnZc68,"Honey, There's No Time",Feng Suave,0.0707,https://p.scdn.co/mp3-preview/aec2727ba5cc5dead7a1ff899e7cb212bad8fccf?cid=49789426e6c04428a2befbd3c2d79b02
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,0.0595,https://p.scdn.co/mp3-preview/40594c6620307172f3bb34b9ee5979d3c1c4b718?cid=49789426e6c04428a2befbd3c2d79b02
5hNsSrWcClSp0tg4Jdd4UY,I Got A Shot,Jack Harlow,0.0892,https://p.scdn.co/mp3-preview/6b8acb053fa5f9c0fad21db461be2c7913ce90cf?cid=49789426e6c04428a2befbd3c2d79b02
7Bot6AB2dsvZEyqzUL8AUH,I'd Do Anything To Make You Smile,Jack Harlow,0.05,https://p.scdn.co/mp3-preview/6714fd380cf53bc0fb44f9cac93190de30a44ce5?cid=49789426e6c04428a2befbd3c2d79b02
2ihL1KGMA0geIqGT5pkZzo,WARSAW (feat. 2forwOyNE),Jack Harlow,0.0883,https://p.scdn.co/mp3-preview/89e8509868fa86cf769383104ec60f2adb195ef1?cid=49789426e6c04428a2befbd3c2d79b02
5uQOauh47VFt3B2kV9kRXw,My Shit,A Boogie Wit da Hoodie,0.0515,https://p.scdn.co/mp3-preview/45655624341656d3375dbed1ea1b1546d59388f5?cid=49789426e6c04428a2befbd3c2d79b02
7Fege3yv4dvehB3NdRBGwI,Banking On Me,Gunna,0.0466,https://p.scdn.co/mp3-preview/c9e7e4d5325227a2379fa1d914a099fa96c66d8f?cid=49789426e6c04428a2befbd3c2d79b02
2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,0.05,https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=49789426e6c04428a2befbd3c2d79b02
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,0.086,https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=49789426e6c04428a2befbd3c2d79b02
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,0.0595,https://p.scdn.co/mp3-preview/4cc0018584f7e316a81616be3bf66c9d9a42ed0e?cid=49789426e6c04428a2befbd3c2d79b02
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,Travis Scott,0.0547,https://p.scdn.co/mp3-preview/4b3564ac8a8363c105fbc651062e2a466076c69c?cid=49789426e6c04428a2befbd3c2d79b02
4S4Mfvv03M1cHgIOJcbUCL,In My Room,Frank Ocean,0.0675,https://p.scdn.co/mp3-preview/a23f4faaefc0b1105bd70e3e46189bcf930dcd42?cid=49789426e6c04428a2befbd3c2d79b02
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,Jack Harlow,0.0841,https://p.scdn.co/mp3-preview/57db620e8b7ffe5c2117a5e65331622a868a21fc?cid=49789426e6c04428a2befbd3c2d79b02
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,0.0568,https://p.scdn.co/mp3-preview/f770a1a0b3dfb5bc652f89848e45ab9d09f7dc69?cid=49789426e6c04428a2befbd3c2d79b02
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),Money Man,0.0736,https://p.scdn.co/mp3-preview/66aeb8b712f893c8bf1088a4a35a9e3a4805357e?cid=49789426e6c04428a2befbd3c2d79b02
7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,A Boogie Wit da Hoodie,0.0637,https://p.scdn.co/mp3-preview/678f28d825ff3570954b71300a8e50e038ee7ad6?cid=49789426e6c04428a2befbd3c2d79b02
