track_id,track_name,track_artist,danceability,instrumentalness,speechiness,acousticness,energy,valence,tempo,loudness,liveness,key,mode,time_signature,preview_url
1TweDM3JC49LNeelLVg3yX,Used (feat. Don Toliver),SZA,0.734,8.47e-05,0.0871,0.532,0.689,0.705,149.579,-6.454,0.322,10,0,4,https://p.scdn.co/mp3-preview/d09fca8423bfaaa8ca282f513a1c8710cec64531?cid=49789426e6c04428a2befbd3c2d79b02
2GAhgAjOhEmItWLfgisyOn,Low,SZA,0.698,0.00314,0.0559,0.425,0.546,0.335,145.044,-7.234,0.16,0,0,4,https://p.scdn.co/mp3-preview/5b6dd5a1d06d0bdfd57382a584cbf0227b4d9a4b?cid=49789426e6c04428a2befbd3c2d79b02
3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,0.359,0.0043,0.0841,0.521,0.48,0.355,120.285,-11.79,0.178,9,1,4,https://p.scdn.co/mp3-preview/af750f68023549d4744e677c0a25ddb26c8182a8?cid=49789426e6c04428a2befbd3c2d79b02
6uU0Hu8oVk9gBihokcrDMH,One of These Days,Pink Floyd,0.381,0.846,0.0465,0.00613,0.508,0.403,103.804,-15.094,0.535,4,1,4,https://p.scdn.co/mp3-preview/5a7ebf0af421b574a127c18f3bdd6333a1586e55?cid=49789426e6c04428a2befbd3c2d79b02
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",Pink Floyd,0.613,0.642,0.0337,0.937,0.0457,0.093,99.524,-26.398,0.0991,0,1,4,https://p.scdn.co/mp3-preview/1d638ff0ac27fbfcb3eed2d9c64a679cd2f36a10?cid=49789426e6c04428a2befbd3c2d79b02
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,0.693,0.000694,0.0428,0.0782,0.394,0.721,104.114,-15.882,0.247,0,1,4,https://p.scdn.co/mp3-preview/73d913b1a9cfa64fda1f7d04d7bb16345fa0aac4?cid=49789426e6c04428a2befbd3c2d79b02
5A7eooPKJHtr0UJmatjH4a,"Another Brick in the Wall, Pt. 3",Pink Floyd,0.653,7.69e-05,0.0353,0.0554,0.472,0.448,102.558,-14.797,0.397,2,1,4,https://p.scdn.co/mp3-preview/b9ec791c8fb7d9e7ece38693db86d0546f57b2b5?cid=49789426e6c04428a2befbd3c2d79b02
2N5zMZX7YeL1tico8oQxa9,Crazy,Gnarls Barkley,0.835,0.0577,0.0339,0.0172,0.741,0.612,111.963,-1.609,0.0826,8,1,4,https://p.scdn.co/mp3-preview/3d23901a1b268fa45dd67e663376cec97ff8c9b2?cid=49789426e6c04428a2befbd3c2d79b02
2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,0.174,0.281,0.0485,0.00181,0.742,0.36,163.378,-5.93,0.198,8,1,4,https://p.scdn.co/mp3-preview/3887c5ec8242ce866b24154f24baa8128f8743d2?cid=49789426e6c04428a2befbd3c2d79b02
5d2fEfIzQz67c3YQ2trVnE,2 time zones (feat. Night Lovell),bbno$,0.924,0.0,0.0981,0.0528,0.584,0.723,92.036,-6.504,0.0642,5,0,4,https://p.scdn.co/mp3-preview/4322d27b105082ae823ad64efd26341308b6e1d3?cid=49789426e6c04428a2befbd3c2d79b02
1hs54MGy1J69I52GvzsrbB,Poison (feat. Lil Wayne),Jack Harlow,0.549,0.0,0.322,0.179,0.485,0.626,112.029,-8.477,0.368,4,0,5,https://p.scdn.co/mp3-preview/904bfd1bcfea1f1891e30c6a32799e0aefef60e1?cid=49789426e6c04428a2befbd3c2d79b02
5cDTRfkFDisKxWxi5GGfW6,Mr. Do The Dash,BabyTron,0.602,0.0,0.393,0.0121,0.524,0.107,132.261,-9.826,0.0693,2,1,5,https://p.scdn.co/mp3-preview/d97d881d6874cc5d4b51eff6c428fab56c855dd8?cid=49789426e6c04428a2befbd3c2d79b02
4MSqgoFS7e8LpsxeeMMVMu,Paranoid,Black Sabbath,0.429,0.00411,0.0769,7.85e-05,0.631,0.376,162.734,-11.514,0.175,4,0,4,https://p.scdn.co/mp3-preview/4d07a4b7dafa6d746f0717a3f575fa76144e8c92?cid=49789426e6c04428a2befbd3c2d79b02
54ELExv56KCAB4UP9cOCzC,Gato de Noche,Ñengo Flow,0.892,1.24e-06,0.162,0.169,0.662,0.607,93.976,-3.894,0.363,8,1,4,https://p.scdn.co/mp3-preview/7d6a9dab2f3779eef37ef52603d20607a1390d91?cid=49789426e6c04428a2befbd3c2d79b02
1A0I5aiVZRwecRlbQcweBh,Gone Country,Alan Jackson,0.681,1.65e-06,0.0248,0.131,0.719,0.637,125.729,-5.918,0.113,7,1,4,https://p.scdn.co/mp3-preview/03a512f0ad00ef82a6cac508eedaed5664d1df4f?cid=49789426e6c04428a2befbd3c2d79b02
05oETzWbd4SI33qK2gbJfR,Rhiannon,Fleetwood Mac,0.723,0.0946,0.0296,0.111,0.49,0.795,129.012,-14.745,0.0923,9,0,4,https://p.scdn.co/mp3-preview/476ef04b5327e34acb261d397fc5832022c35d5b?cid=49789426e6c04428a2befbd3c2d79b02
76nKkLXCAoJwnjUylYic4D,You Up?,Johan Lenox,0.685,0.000101,0.0458,0.488,0.818,0.658,156.919,-4.559,0.109,10,0,4,https://p.scdn.co/mp3-preview/277695a12853cf17471a4d5abd5f974cb60b58ee?cid=49789426e6c04428a2befbd3c2d79b02
43cCZRdT1nybOMWrjimFWB,Stay,Khalid,0.666,2.43e-06,0.0504,0.228,0.628,0.429,124.936,-7.869,0.0834,5,0,4,https://p.scdn.co/mp3-preview/35877b4c4718c030225950b03a515515c4d5c8cf?cid=49789426e6c04428a2befbd3c2d79b02
400QEuv1HXJcm7gGSya4fn,Taj,BLR,0.864,0.841,0.118,0.0948,0.727,0.165,124.003,-5.407,0.144,8,1,4,https://p.scdn.co/mp3-preview/28d864a791936617d9667aacd53885310baeca28?cid=49789426e6c04428a2befbd3c2d79b02
30pVSKdzBpZ9Np4Y2bJbFM,Fuego,Alok,0.72,0.812,0.0369,0.135,0.643,0.325,122.012,-7.691,0.112,9,1,4,https://p.scdn.co/mp3-preview/82e7449dd93791a4b7b8b51f23b6137bca024ffc?cid=49789426e6c04428a2befbd3c2d79b02
6NOjt6GYMuBGSuLuM2AXuB,Equilibrium,Leon Lour,0.613,0.952,0.0399,0.0453,0.846,0.301,123.995,-4.699,0.24,11,0,4,https://p.scdn.co/mp3-preview/ec0f3511b9f143d20db8bf233f76f9552459acba?cid=49789426e6c04428a2befbd3c2d79b02
