track_id,track_name,track_artist,danceability,preview_url
3bAHX6bcQnRgEdz6xlEmH8,Body (Remix) - feat. Jack Harlow,Tion Wayne,0.885,https://p.scdn.co/mp3-preview/b51b6ef59be315b54a5cc97c46948b9b400cbb63?cid=49789426e6c04428a2befbd3c2d79b02
5faz5WYRJdRDiCa42DSgHR,Route 66 (feat. EST Gee),Jack Harlow,0.914,https://p.scdn.co/mp3-preview/63a080ba946c419ab608865f7e90556ab8bc5201?cid=49789426e6c04428a2befbd3c2d79b02
2OPxM2L3KtuehqY24vTMGs,Heart Mind,Kodak Black,0.921,https://p.scdn.co/mp3-preview/17b759bac7968c08989a4ca85b50c2eb327eecf3?cid=49789426e6c04428a2befbd3c2d79b02
0XHyNndHIiLADEPrUHpia8,Shining (feat. 42 Dugg),LBS Kee'vin,0.957,https://p.scdn.co/mp3-preview/5b4d251d3416dc4e2fc4c0571e31c65ba2eb3c82?cid=49789426e6c04428a2befbd3c2d79b02
4h7qcXBtaOJnmrapxoWxGf,Isis (feat. Logic),Joyner Lucas,0.884,https://p.scdn.co/mp3-preview/cbca4bbe478119e27726fe28a5f6ab6b9c136ff5?cid=49789426e6c04428a2befbd3c2d79b02
49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,Future,0.874,https://p.scdn.co/mp3-preview/63e5b7f09aafde7635576aba7b1d3dac65d805a1?cid=49789426e6c04428a2befbd3c2d79b02
6br4Pc0BzU6dTD5fEmks2i,Electric Body (feat. ScHoolboy Q),A$AP Rocky,0.898,https://p.scdn.co/mp3-preview/a634392fa3736002ec6cd3607e5480cad6a36204?cid=49789426e6c04428a2befbd3c2d79b02
0FwezIaHwoxFy8IOLbF2UQ,Imma Ride,Rich Homie Quan,0.854,https://p.scdn.co/mp3-preview/16b8f36a055be640bb59195be5a7d000dc4bd8df?cid=49789426e6c04428a2befbd3c2d79b02
252gJUec2oDsGBPcxZs4nX,Walked In,Bankroll Fresh,0.969,https://p.scdn.co/mp3-preview/d460ffe5a7f653211e08a03314b886200955b0e7?cid=49789426e6c04428a2befbd3c2d79b02
4fV6yeuoBSoW69WIPv25TN,Top 5 (feat. Playboi Carti),Kap G,0.885,https://p.scdn.co/mp3-preview/6d2c354396cb583b3a38ba27718ce0b0a49d0103?cid=49789426e6c04428a2befbd3c2d79b02
1Scp8ar1dnJOaSVEMIiB80,2 Lil Shorty,Don Toliver,0.87,https://p.scdn.co/mp3-preview/64ee02850cee1451c7ebab083e0e66733f870f18?cid=49789426e6c04428a2befbd3c2d79b02
4SWWe2OYC4mqf40Gc2RSdl,Down Below,Roddy Ricch,0.926,https://p.scdn.co/mp3-preview/15a23e2437ea5d9a21f5a85a98b7ee4b694ef1b1?cid=49789426e6c04428a2befbd3c2d79b02
0fFWxRZGKR7HDW2xBMOZgW,5 Thousand Singles,SAINt JHN,0.859,https://p.scdn.co/mp3-preview/cd06f0f77622b75e9c5d98eda0a34427d23e9296?cid=49789426e6c04428a2befbd3c2d79b02
6rLi6PyWXu1rPlShuIZpj6,Way Out (feat. Big Sean),Jack Harlow,0.945,https://p.scdn.co/mp3-preview/5ef26b7875decb3d9f35e86090e1b2f936604785?cid=49789426e6c04428a2befbd3c2d79b02
1oBbet1xcWpWgOw2Ddzsaj,GOTA GOTA,Zion & Lennox,0.867,https://p.scdn.co/mp3-preview/44f7c49daa0528009e8db63316cc82219441ef1f?cid=49789426e6c04428a2befbd3c2d79b02
7aayLkoDFs4CLdi6zUNph1,Pe$Os,Boobie Lootaveli,0.852,https://p.scdn.co/mp3-preview/3074a4628c318b0b0ebac1e0bedc812eeaba8bab?cid=49789426e6c04428a2befbd3c2d79b02
5bknBRjKJZ643DAN2w8Yoy,FACE,BROCKHAMPTON,0.945,https://p.scdn.co/mp3-preview/d38fa544144e18a9d8655ca0e84ce882f9b8b14c?cid=49789426e6c04428a2befbd3c2d79b02
7v96VvFLS0wSYT8kewNLRy,24 (feat. Lil Baby),Money Man,0.868,https://p.scdn.co/mp3-preview/66aeb8b712f893c8bf1088a4a35a9e3a4805357e?cid=49789426e6c04428a2befbd3c2d79b02
3UymJtiCzo9Wy0IXzh2Iwf,Want My M's,Kap G,0.892,https://p.scdn.co/mp3-preview/db05655635e0f8d31402d65b062b7d342102b093?cid=49789426e6c04428a2befbd3c2d79b02
0DosTwoHVAziTd3GfQNIef,TRIPLE HELIX,KILLY,0.923,https://p.scdn.co/mp3-preview/21742f14d24223c95df2e6ecb433e58d3f3d84e0?cid=49789426e6c04428a2befbd3c2d79b02
0IUgswE9wJaY4QIQZEDTKe,CIVIL WAR - Bonus,Russ,0.923,https://p.scdn.co/mp3-preview/5a44d718d1d3fca073e3cd4732804d5cc180f4de?cid=49789426e6c04428a2befbd3c2d79b02
2iicKPnvOKfbJZJZtuQnjy,Neighbor (feat. Travis Scott),Juicy J,0.921,https://p.scdn.co/mp3-preview/06cdb5cffc4dc61c024c9d48949e7b28805e7870?cid=49789426e6c04428a2befbd3c2d79b02
3DbBgbnDUOml329rAp2Tbr,Colorado,Kota the Friend,0.905,https://p.scdn.co/mp3-preview/e978b69e4a78147fae32ebc41018dc12ad228873?cid=49789426e6c04428a2befbd3c2d79b02
2aWVaW1p2kUc5yuKwBmRJi,I WANNA SEE SOME ASS (feat. jetsonmade),Jack Harlow,0.899,https://p.scdn.co/mp3-preview/a77f1ec0bb831873d77af8921731d3694e45b752?cid=49789426e6c04428a2befbd3c2d79b02
41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),Fifth Harmony,0.884,https://p.scdn.co/mp3-preview/de93c7aed8dff779d1fdba63d1522f2c770980f5?cid=49789426e6c04428a2befbd3c2d79b02
5Y2pr8wjzjO2te4MnxTUa7,Calabria 2008,Enur,0.891,https://p.scdn.co/mp3-preview/536a26cd90818ef80cd0f2204bbd8e8608485e9b?cid=49789426e6c04428a2befbd3c2d79b02
