track_id,track_name,track_artist,preview_url
7rk1Igpb5716IXnXJuf7IT,Premier danseur noble (3/4 Time Signature),Kids Ballet,https://p.scdn.co/mp3-preview/36ce3872a231cb040ee6540ea854ef991f832102?cid=49789426e6c04428a2befbd3c2d79b02
5ywXUIK2xa2t6F9vBJGmRj,Breakdance Music 001,Breakdance Music,https://p.scdn.co/mp3-preview/48fb4903db4b065824d398875291cab13db34c6f?cid=49789426e6c04428a2befbd3c2d79b02
3NfSsF70uQmr5KLrFDe6al,Ambition,The Danse Society,https://p.scdn.co/mp3-preview/3c6a45ba12ffca9db328b16554a50c500dd5d57d?cid=49789426e6c04428a2befbd3c2d79b02
0z5BdPJkHMXbTeWujto03q,Dance/Bailar,Incidents,https://p.scdn.co/mp3-preview/2c533f71fa1b1b10f7a7a8e426c6f220feac154b?cid=49789426e6c04428a2befbd3c2d79b02
7D85dOgTEvBcrI85FXqDL4,Danseuse - 4/4 Ballet Class for Young Ballerina,Ballerina,https://p.scdn.co/mp3-preview/62cabf6259f2db343b444e0160809675582ef3b5?cid=49789426e6c04428a2befbd3c2d79b02
4D5iDFO5jFq9Ur74iqtwFx,Dance Like You Got Good Credit,Cazwell,https://p.scdn.co/mp3-preview/b0c64919ac474fdd4e6532c974067f687233051b?cid=49789426e6c04428a2befbd3c2d79b02
07mGG0dgMXgxdg7smM1qrW,The Dance,Steve Schultheis,https://p.scdn.co/mp3-preview/b46d39d7cf9259d67ff84a371bd3ea2d82e45a2e?cid=49789426e6c04428a2befbd3c2d79b02
6cLvsryYkyOTwLvdxsswBb,Dance in 6/8 (Dance á la Beethoven),Douglas Schultz,https://p.scdn.co/mp3-preview/f7bd7b0c53ecb6e5508e2c63a31dfe10acea72fa?cid=49789426e6c04428a2befbd3c2d79b02
3eJEwbuA3x2mzAXiZoPbE8,Eights 60,London Dance Collective,https://p.scdn.co/mp3-preview/556777ea900b6f1782624f950024a1f2ce02c0dd?cid=49789426e6c04428a2befbd3c2d79b02
7IvsDBcYYVgdL9Z8grZxvF,Eights 75,London Dance Collective,https://p.scdn.co/mp3-preview/b7f622eb2046627146078732adca05658df67853?cid=49789426e6c04428a2befbd3c2d79b02
